day,density
1,0.00031643830050644465
2,0.00026210299105766265
3,0.00032890455972540793
4,0.00029660982981008954
5,0.0002887946047792353
6,0.0002663717614032103
7,0.00025871363253614124
8,0.0002806557432659848
9,0.00028560635576528766
10,0.00031873347752944006
11,0.0003207304886991054
12,0.00032275125664763476
13,0.0003305131177935299
14,0.0003446560545764639
15,0.0002694470845449042
16,0.0002791243178739434
17,0.00030663758973658873
18,0.00027964040606937837
19,0.00033705289164006176
20,0.0002835938439574338
21,0.0003037674142526274
22,0.00031834719334719336
23,0.00031721399897430454
24,0.0003384412319876192
25,0.0002625439911496621
26,0.0003095059787159371
27,0.00029813236091262997
28,0.00027878892463175444
29,0.00036680421824850985
30,0.0002879852062975027
