day,density
1,0.00019144039177164816
2,0.0001747353273717751
3,0.00019368259235762043
4,0.00019239556528222025
5,0.00021529322388575472
6,0.00021719134637367544
7,0.00018616560820328793
8,0.00018365857420521951
9,0.00021097148732473602
10,0.0002198990627253064
11,0.00022980780887523055
12,0.00022072021422354376
13,0.0002516302460167207
14,0.0002894206418936379
15,0.00027070178575349513
16,0.00025223619550993965
17,0.0002822339061243343
18,0.0002514137923112017
19,0.00024842680135094903
20,0.00025294553523973575
21,0.0002808781710330808
22,0.0002923596673596674
23,0.00030358227079538557
24,0.00027998320100793955
25,0.0002749697372956766
26,0.00031042712746211546
27,0.00032030749519538755
28,0.00029669653438912257
29,0.0003346615805669394
30,0.00026805103148751355
